"atlassian_light_token_cleaned","atlassian_value","atlassian_type","atlassian_description"
"ds-font-body-large","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""1rem"",""lineHeight"":""1.5rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-body","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""0.875rem"",""lineHeight"":""1.25rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-body-small","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""0.75rem"",""lineHeight"":""1rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-ui","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""0.875rem"",""lineHeight"":""1rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-ui-small","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""0.75rem"",""lineHeight"":""1rem"",""fontFamily"":""ui-sans-serif, \""Segoe UI\"", Ubuntu, system-ui, \""Helvetica Neue\"", sans-serif""}","typography",
"ds-font-code","{""fontStyle"":""normal"",""fontWeight"":""400"",""fontSize"":""0.875em"",""lineHeight"":""1rem"",""fontFamily"":""ui-monospace, Menlo, \""Segoe UI Mono\"", \""Ubuntu Mono\"", monospace""}","typography",
"ds-font-letterSpacing-0","0","letterSpacing",
"ds-font-letterSpacing-100","0","letterSpacing",
"ds-font-letterSpacing-200","0","letterSpacing",
"ds-font-letterSpacing-300","0","letterSpacing",
"ds-font-letterSpacing-400","0","letterSpacing",
"ds-font-family-body","""SF Pro"", ui-sans-serif, ""Segoe UI"", Ubuntu, system-ui, ""Helvetica Neue"", sans-serif","fontFamilies",
"ds-font-family-code","ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace","fontFamilies",
"ds-font-family-heading","ui-sans-serif, ""Segoe UI"", Ubuntu, system-ui, ""Helvetica Neue"", sans-serif","fontFamilies",
"ds-font-family-monospace","ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace","fontFamilies",
"ds-font-family-sans","""SF Pro"", -apple-system, BlinkMacSystemFont, ""Segoe UI"", ""Roboto"", ""Oxygen"", ""Ubuntu"", ""Fira Sans"", ""Droid Sans"", ""Helvetica Neue"", sans-serif","fontFamilies",
"ds-font-family-brand","Charlie Sans","fontFamilies",
"ds-font-size-050","0.6875rem","fontSizes",
"ds-font-size-075","0.75rem","fontSizes",
"ds-font-size-100","0.875rem","fontSizes",
"ds-font-size-200","1rem","fontSizes",
"ds-font-size-300","1.25rem","fontSizes",
"ds-font-size-400","1.5rem","fontSizes",
"ds-font-size-500","1.8125rem","fontSizes",
"ds-font-size-600","2.1875rem","fontSizes",
"ds-font-weight-regular","400","fontWeights",
"ds-font-weight-medium","500","fontWeights",
"ds-font-weight-semibold","600","fontWeights",
"ds-font-weight-bold","700","fontWeights",
"ds-font-lineHeight-1","1","lineHeights",
"ds-font-lineHeight-100","1rem","lineHeights",
"ds-font-lineHeight-200","1.25rem","lineHeights",
"ds-font-lineHeight-300","1.5rem","lineHeights",
"ds-font-lineHeight-400","1.75rem","lineHeights",
"ds-font-lineHeight-500","2rem","lineHeights",
"ds-font-lineHeight-600","2.5rem","lineHeights",
